Maketu - Pongakawa,Motiti - Pongakawa,Otawa - Pongakawa,Pongakawa - Pongakawa,Pongakawa - Mount Maunganui North,Pongakawa - Palm Beach South-Gravatt,Pongakawa - Tauranga Hospital,Pongakawa - Tauranga Central,Pongakawa - Otawa,Pongakawa - Rangiuru,Pongakawa - Baypark-Kairua,Pongakawa - Mount Maunganui Central,Pongakawa - Wairakei,Pongakawa - Maketu,Pongakawa - Te Puke East,Pongakawa - Te Puke West,Pukehina Beach - Pongakawa,Rangiuru - Pongakawa,Te Puke East - Pongakawa,Te Puke West - Pongakawa,Wairakei - Pongakawa
,,,"[[-37.8160768, 176.5134544], [-37.8220161, 176.586015]]",,,,,,"[[-37.813473, 176.4553636], [-37.8466118, 176.3146044]]",,"[[-37.9520258, 176.446104], [-37.6700597, 176.2001077]]",,,"[[-37.7874085, 176.4942984], [-37.7868254, 176.319501]]","[[-37.8224233, 176.4114091], [-37.7662271, 176.3139858]]",,"[[-37.7604813, 176.4478444], [-37.7878143, 176.4803021]]","[[-37.78688, 176.3206112], [-37.8497381, 176.4271326]]",,
,,,"[[-37.7878143, 176.4803021], [-37.7908073, 176.5289654]]",,,,,,"[[-37.9520258, 176.446104], [-37.8020628, 176.3721143]]",,"[[-37.8625557, 176.5841128], [-37.6700637, 176.1999765]]",,,"[[-37.8345821, 176.6082463], [-37.7889271, 176.3335321]]","[[-37.8120571, 176.5676919], [-37.7815961, 176.3140699]]",,"[[-37.7810097, 176.45935], [-37.832355, 176.5897022]]","[[-37.8028253, 176.3157059], [-37.8139476, 176.4566196]]",,
,,,"[[-37.8276938, 176.4088519], [-37.8840265, 176.5188666]]",,,,,,"[[-37.9249421, 176.608566], [-37.800882, 176.3996375]]",,"[[-37.8385775, 176.3989236], [-37.6397742, 176.1838324]]",,,"[[-37.7874085, 176.4942984], [-37.7843189, 176.3266607]]","[[-37.7878143, 176.4803021], [-37.7817246, 176.3125261]]",,,"[[-37.7852565, 176.3258246], [-37.839119, 176.5592824]]",,
,,,"[[-37.8229848, 176.4855823], [-37.940655, 176.5136743]]",,,,,,"[[-37.8160747, 176.4134269], [-37.8030898, 176.3997374]]",,"[[-37.8840265, 176.5188666], [-37.6549171, 176.1870193]]",,,"[[-37.839119, 176.5592824], [-37.7925033, 176.3201315]]","[[-37.8853328, 176.549601], [-37.7808539, 176.3115368]]",,,"[[-37.7790009, 176.3296494], [-37.8872731, 176.5258894]]",,
,,,"[[-37.8552956, 176.5085268], [-37.9404661, 176.491225]]",,,,,,"[[-37.96837, 176.4564748], [-37.8048765, 176.4116053]]",,"[[-37.813473, 176.4553636], [-37.666733, 176.2030978]]",,,"[[-37.832355, 176.5897022], [-37.8015333, 176.3177972]]","[[-37.8171003, 176.4191642], [-37.8045981, 176.2995893]]",,,"[[-37.7954399, 176.3191041], [-37.8829707, 176.4200773]]",,
,,,"[[-37.9538306, 176.4591678], [-37.8062775, 176.5160445]]",,,,,,"[[-37.8811169, 176.5759027], [-37.7792577, 176.4249331]]",,"[[-37.8381427, 176.4213539], [-37.6630291, 176.1998078]]",,,"[[-37.7874085, 176.4942984], [-37.786104, 176.3252305]]","[[-37.8224233, 176.4114091], [-37.7796301, 176.2941843]]",,,,,
,,,"[[-37.8676569, 176.5209933], [-37.8248478, 176.4127553]]",,,,,,"[[-37.8625557, 176.5841128], [-37.7908621, 176.3544682]]",,"[[-37.9617927, 176.4355576], [-37.654593, 176.1969913]]",,,"[[-38.0127858, 176.5496367], [-37.7924878, 176.3149128]]","[[-37.8157909, 176.5138564], [-37.7822912, 176.3054761]]",,,,,
,,,"[[-37.8160747, 176.4134269], [-37.8139476, 176.4566196]]",,,,,,"[[-37.9064248, 176.4339361], [-37.7890194, 176.3355721]]",,"[[-37.8213214, 176.5811625], [-37.6620367, 176.1881947]]",,,"[[-37.8371346, 176.4734481], [-37.7834051, 176.3246524]]","[[-37.8840265, 176.5188666], [-37.7821635, 176.3182266]]",,,,,
,,,"[[-37.8216104, 176.4144627], [-37.813473, 176.4553636]]",,,,,,"[[-37.8840265, 176.5188666], [-37.7706689, 176.4041135]]",,"[[-37.9916308, 176.5350308], [-37.6547053, 176.1871074]]",,,"[[-37.8345821, 176.6082463], [-37.7955371, 176.3176769]]","[[-37.813473, 176.4553636], [-37.7814072, 176.3054207]]",,,,,
,,,"[[-37.8424402, 176.5331189], [-37.8158911, 176.5180588]]",,,,,,"[[-37.839119, 176.5592824], [-37.8837279, 176.3320005]]",,"[[-37.8462459, 176.4550288], [-37.6478006, 176.1866506]]",,,"[[-37.8242675, 176.4135804], [-37.7889721, 176.3263393]]","[[-37.8132593, 176.4843243], [-37.7853139, 176.3122982]]",,,,,
,,,"[[-37.8462459, 176.4550288], [-37.8992575, 176.5513958]]",,,,,,"[[-37.8180815, 176.4121985], [-37.8233892, 176.3828904]]",,"[[-37.8182116, 176.5064839], [-37.6640088, 176.18446]]",,,"[[-37.8248478, 176.4127553], [-37.7887394, 176.3169985]]","[[-37.8368006, 176.4752142], [-37.7826305, 176.3084236]]",,,,,
,,,"[[-37.940655, 176.5136743], [-37.8139476, 176.4566196]]",,,,,,"[[-37.8676569, 176.5209933], [-37.8165511, 176.3645276]]",,"[[-37.7908073, 176.5289654], [-37.6577892, 176.2022378]]",,,"[[-37.8238169, 176.4730639], [-37.7881562, 176.3152283]]","[[-38.0137586, 176.5754648], [-37.7758499, 176.3089544]]",,,,,
,,,"[[-37.8214852, 176.565141], [-37.8552956, 176.5085268]]",,,,,,"[[-37.8673567, 176.5258971], [-37.7932249, 176.3441366]]",,"[[-38.0127858, 176.5496367], [-37.6575461, 176.1885439]]",,,"[[-37.8381427, 176.4213539], [-37.7949576, 176.327699]]","[[-37.8162627, 176.4143692], [-37.7798992, 176.2908175]]",,,,,
,,,"[[-37.9249421, 176.608566], [-37.8241838, 176.4144632]]",,,,,,"[[-37.8214852, 176.565141], [-37.807256, 176.4369396]]",,"[[-37.9064248, 176.4339361], [-37.6397147, 176.1841594]]",,,"[[-37.9404661, 176.491225], [-37.7901146, 176.3247566]]","[[-37.9538306, 176.4591678], [-37.7858345, 176.3135415]]",,,,,
,,,"[[-37.8204305, 176.4775971], [-37.8458518, 176.4531546]]",,,,,,"[[-37.8771966, 176.529182], [-37.8068307, 176.3799259]]",,"[[-37.8239502, 176.4750853], [-37.6491827, 176.191998]]",,,"[[-37.8239502, 176.4750853], [-37.7832742, 176.3246941]]","[[-37.8371346, 176.4734481], [-37.7824748, 176.3034737]]",,,,,
,,,"[[-37.8360845, 176.433971], [-37.8659566, 176.3871999]]",,,,,,"[[-37.8497381, 176.4271326], [-37.8056904, 176.3426049]]",,"[[-37.8659566, 176.3871999], [-37.6567371, 176.1960671]]",,,"[[-37.8172858, 176.5662386], [-37.7886792, 176.3352638]]","[[-38.0137586, 176.5754648], [-37.7840268, 176.3137456]]",,,,,
,,,"[[-37.9537859, 176.3743359], [-37.8505544, 176.507039]]",,,,,,"[[-37.839119, 176.5592824], [-37.8215542, 176.4114063]]",,"[[-37.8158911, 176.5180588], [-37.6652751, 176.206807]]",,,"[[-37.7961231, 176.4816284], [-37.7816943, 176.3184011]]","[[-37.8171003, 176.4191642], [-37.7748249, 176.3084348]]",,,,,
,,,"[[-37.9064248, 176.4339361], [-37.9494975, 176.5395485]]",,,,,,"[[-37.8181443, 176.4152129], [-37.813473, 176.4553636]]",,"[[-37.8458518, 176.4531546], [-37.6535135, 176.1978176]]",,,"[[-37.8371346, 176.4734481], [-37.7955371, 176.3176769]]","[[-37.8840265, 176.5188666], [-37.7816943, 176.3184011]]",,,,,
,,,"[[-37.8224233, 176.4114091], [-37.839119, 176.5592824]]",,,,,,"[[-37.8160768, 176.5134544], [-37.7642128, 176.372556]]",,"[[-37.8031129, 176.4922342], [-37.6708164, 176.2099261]]",,,"[[-37.8127294, 176.4082365], [-37.7987642, 176.3218461]]","[[-37.8254786, 176.4121509], [-37.7796301, 176.2941843]]",,,,,
,,,"[[-37.9889056, 176.5037108], [-37.8460311, 176.5406863]]",,,,,,"[[-37.8355081, 176.6004718], [-37.813473, 176.4553636]]",,"[[-37.8204305, 176.4775971], [-37.6539137, 176.1984912]]",,,"[[-37.82484, 176.4106721], [-37.7961063, 176.3230103]]","[[-37.8213214, 176.5811625], [-37.7824748, 176.3034737]]",,,,,
,,,"[[-37.7908073, 176.5289654], [-37.8371346, 176.4734481]]",,,,,,"[[-37.8239502, 176.4750853], [-37.8132857, 176.4141899]]",,"[[-37.8238169, 176.4730639], [-37.6616781, 176.1870887]]",,,"[[-37.7908073, 176.5289654], [-37.7927911, 176.3222886]]",,,,,,
,,,"[[-37.9916308, 176.5350308], [-37.9494975, 176.5395485]]",,,,,,"[[-37.9889056, 176.5037108], [-37.8263149, 176.3306745]]",,"[[-37.7908073, 176.5289654], [-37.6649818, 176.2067325]]",,,"[[-37.8215941, 176.5490969], [-37.7868254, 176.319501]]",,,,,,
,,,"[[-37.8031129, 176.4922342], [-37.8360845, 176.433971]]",,,,,,"[[-37.9421527, 176.4155608], [-37.7985897, 176.3521773]]",,"[[-37.8181795, 176.4121079], [-37.6543166, 176.1990561]]",,,"[[-37.8659566, 176.3871999], [-37.7942043, 176.320047]]",,,,,,
,,,"[[-37.838803, 176.3821097], [-37.8254786, 176.4121509]]",,,,,,"[[-37.7909565, 176.46572], [-37.7706689, 176.4041135]]",,"[[-37.807256, 176.4369396], [-37.670019, 176.2139153]]",,,"[[-37.8031129, 176.4922342], [-37.7851329, 176.3257534]]",,,,,,
,,,"[[-37.7874085, 176.4942984], [-37.8220161, 176.586015]]",,,,,,"[[-37.8160768, 176.5134544], [-37.7777922, 176.3718026]]",,"[[-37.8225107, 176.4030006], [-37.6557419, 176.1871149]]",,,"[[-37.8170225, 176.4627897], [-37.7850794, 176.325992]]",,,,,,
,,,"[[-37.9464163, 176.5088435], [-37.82484, 176.4106721]]",,,,,,"[[-37.8381427, 176.4213539], [-37.7937287, 176.3929769]]",,"[[-37.8277965, 176.3963839], [-37.6648885, 176.1918305]]",,,"[[-37.7878143, 176.4803021], [-37.7734425, 176.3286572]]",,,,,,
,,,"[[-37.8171003, 176.4191642], [-37.8454164, 176.4842073]]",,,,,,"[[-37.8181443, 176.4152129], [-37.7931205, 176.3416895]]",,,,,"[[-37.8043712, 176.5538939], [-37.7905868, 176.334635]]",,,,,,
,,,"[[-37.9520258, 176.446104], [-37.807256, 176.4369396]]",,,,,,"[[-37.8157909, 176.5138564], [-37.8837279, 176.3320005]]",,,,,"[[-37.8611798, 176.5684664], [-37.7849765, 176.316989]]",,,,,,
,,,"[[-37.8371346, 176.4734481], [-37.8031129, 176.4922342]]",,,,,,"[[-37.8215542, 176.4114063], [-37.7586212, 176.3734557]]",,,,,"[[-37.8139476, 176.4566196], [-37.7905868, 176.334635]]",,,,,,
,,,"[[-37.8248478, 176.4127553], [-37.9520258, 176.446104]]",,,,,,"[[-37.940655, 176.5136743], [-37.8010313, 176.3991113]]",,,,,"[[-37.8216085, 176.4117037], [-37.7889271, 176.3335321]]",,,,,,
,,,"[[-37.8181788, 176.4127408], [-37.8605471, 176.5485573]]",,,,,,"[[-37.8277965, 176.3963839], [-37.8006354, 176.3989094]]",,,,,"[[-37.8497381, 176.4271326], [-37.7900082, 176.3200904]]",,,,,,
,,,"[[-37.8224233, 176.4114091], [-37.7909565, 176.46572]]",,,,,,"[[-37.8506281, 176.4296983], [-37.825133, 176.3382071]]",,,,,"[[-37.9916308, 176.5350308], [-37.7889271, 176.3335321]]",,,,,,
,,,"[[-37.8248478, 176.4127553], [-37.8840265, 176.5188666]]",,,,,,"[[-37.838803, 176.3821097], [-37.8082191, 176.3759584]]",,,,,"[[-37.8215941, 176.5490969], [-37.786825, 176.3247595]]",,,,,,
,,,"[[-37.8181443, 176.4152129], [-37.8216108, 176.4155869]]",,,,,,"[[-37.8505544, 176.507039], [-37.7726144, 176.45694]]",,,,,"[[-37.8458518, 176.4531546], [-37.7936736, 176.3242594]]",,,,,,
,,,"[[-37.8460311, 176.5406863], [-37.8139476, 176.4566196]]",,,,,,"[[-37.8132593, 176.4843243], [-37.8048779, 176.4223863]]",,,,,"[[-37.8458518, 176.4531546], [-37.7921716, 176.3247556]]",,,,,,
,,,"[[-37.7961231, 176.4816284], [-37.8223922, 176.4117205]]",,,,,,"[[-37.8840265, 176.5188666], [-37.7941173, 176.3930513]]",,,,,"[[-37.8182116, 176.5064839], [-37.787054, 176.3273448]]",,,,,,
,,,"[[-37.8345821, 176.6082463], [-37.838803, 176.3821097]]",,,,,,"[[-37.8139476, 176.4566196], [-37.8233892, 176.3828904]]",,,,,"[[-37.8172858, 176.5662386], [-37.783922, 176.324605]]",,,,,,
,,,"[[-37.8184274, 176.412028], [-37.8213214, 176.5811625]]",,,,,,"[[-37.8248478, 176.4127553], [-37.8159889, 176.3625207]]",,,,,"[[-37.8220161, 176.586015], [-37.7850141, 176.3285909]]",,,,,,
,,,"[[-37.8160768, 176.5134544], [-37.7908073, 176.5289654]]",,,,,,"[[-37.8673567, 176.5258971], [-37.8004355, 176.399311]]",,,,,"[[-37.8031129, 176.4922342], [-37.7834051, 176.3246524]]",,,,,,
,,,"[[-37.9537859, 176.3743359], [-37.8229848, 176.4855823]]",,,,,,"[[-37.8216108, 176.4155869], [-37.8281702, 176.3811441]]",,,,,"[[-37.9782795, 176.5651275], [-37.7855567, 176.3308084]]",,,,,,
,,,"[[-37.9494975, 176.5395485], [-37.9538306, 176.4591678]]",,,,,,"[[-37.9064248, 176.4339361], [-37.7908621, 176.3544682]]",,,,,"[[-37.796122, 176.4812288], [-37.7841344, 176.3169917]]",,,,,,
,,,"[[-37.8462459, 176.4550288], [-37.8158911, 176.5180588]]",,,,,,"[[-37.8132593, 176.4843243], [-37.8131285, 176.3755596]]",,,,,"[[-37.8220161, 176.586015], [-37.7816758, 176.3187202]]",,,,,,
,,,"[[-37.7908073, 176.5289654], [-37.8213214, 176.5811625]]",,,,,,"[[-37.82484, 176.4106721], [-37.8466118, 176.3146044]]",,,,,"[[-37.8139476, 176.4566196], [-37.7839579, 176.3232338]]",,,,,,
,,,"[[-37.8220161, 176.586015], [-37.8673567, 176.5258971]]",,,,,,"[[-38.0127858, 176.5496367], [-37.8466118, 176.3146044]]",,,,,"[[-37.8271759, 176.4369245], [-37.79838, 176.3217835]]",,,,,,
,,,"[[-37.8254786, 176.4121509], [-37.8216108, 176.4155869]]",,,,,,"[[-37.8840265, 176.5188666], [-37.8009311, 176.3996007]]",,,,,"[[-37.8509852, 176.422804], [-37.783005, 176.3317909]]",,,,,,
,,,"[[-37.8385775, 176.3989236], [-37.82484, 176.4106721]]",,,,,,"[[-37.8159717, 176.5140182], [-37.8711168, 176.3101955]]",,,,,"[[-37.8220161, 176.586015], [-37.7927911, 176.3222886]]",,,,,,
,,,"[[-37.8458518, 176.4531546], [-37.8992575, 176.5513958]]",,,,,,"[[-37.839119, 176.5592824], [-37.7959726, 176.4117676]]",,,,,"[[-37.8277965, 176.3963839], [-37.7850355, 176.3247514]]",,,,,,
,,,"[[-37.8215542, 176.4114063], [-37.8216108, 176.4155869]]",,,,,,"[[-37.8625557, 176.5841128], [-37.7943783, 176.3929319]]",,,,,"[[-37.8462459, 176.4550288], [-37.7813671, 176.3175356]]",,,,,,
,,,"[[-37.8254786, 176.4121509], [-37.8184274, 176.412028]]",,,,,,"[[-37.8458518, 176.4531546], [-37.7959726, 176.4117676]]",,,,,"[[-37.8120571, 176.5676919], [-37.795207, 176.3201196]]",,,,,,
,,,"[[-37.8454164, 176.4842073], [-37.8771966, 176.529182]]",,,,,,"[[-38.0012068, 176.5507815], [-37.8003332, 176.3978629]]",,,,,"[[-37.8676569, 176.5209933], [-37.785292, 176.3169902]]",,,,,,
,,,"[[-37.8043712, 176.5538939], [-37.8158911, 176.5180588]]",,,,,,,,,,,"[[-37.8424402, 176.5331189], [-37.7910715, 176.3260086]]",,,,,,
,,,"[[-37.839119, 176.5592824], [-37.82484, 176.4106721]]",,,,,,,,,,,"[[-37.8454164, 176.4842073], [-37.7898933, 176.3169843]]",,,,,,
,,,"[[-37.9421527, 176.4155608], [-37.9622419, 176.5436609]]",,,,,,,,,,,"[[-37.8242675, 176.4135804], [-37.786485, 176.3338866]]",,,,,,
,,,"[[-37.8497381, 176.4271326], [-37.813473, 176.4553636]]",,,,,,,,,,,"[[-37.8238169, 176.4730639], [-37.7825745, 176.3302093]]",,,,,,
,,,"[[-37.8227685, 176.4773101], [-37.7961231, 176.4816284]]",,,,,,,,,,,"[[-37.9916308, 176.5350308], [-37.7885424, 176.3351453]]",,,,,,
,,,"[[-37.9916308, 176.5350308], [-37.7908073, 176.5289654]]",,,,,,,,,,,"[[-37.82294, 176.4856864], [-37.7849482, 176.3219884]]",,,,,,
,,,"[[-37.7874085, 176.4942984], [-37.8625557, 176.5841128]]",,,,,,,,,,,"[[-37.9537859, 176.3743359], [-37.7816758, 176.3187202]]",,,,,,
,,,"[[-37.9537859, 176.3743359], [-37.8181443, 176.4152129]]",,,,,,,,,,,"[[-37.8180815, 176.4121985], [-37.7891011, 176.3350861]]",,,,,,
,,,"[[-37.9494975, 176.5395485], [-37.8371346, 176.4734481]]",,,,,,,,,,,"[[-37.8215941, 176.5490969], [-37.785231, 176.3286235]]",,,,,,
,,,"[[-37.8276938, 176.4088519], [-37.8829707, 176.4200773]]",,,,,,,,,,,"[[-37.8277965, 176.3963839], [-37.7849382, 176.3206346]]",,,,,,
,,,"[[-37.8162627, 176.4143692], [-37.82484, 176.4106721]]",,,,,,,,,,,"[[-37.8381427, 176.4213539], [-37.7842591, 176.3264076]]",,,,,,
,,,"[[-37.9622419, 176.5436609], [-37.807256, 176.4369396]]",,,,,,,,,,,"[[-37.8159717, 176.5140182], [-37.7849482, 176.3219884]]",,,,,,
,,,"[[-37.7874085, 176.4942984], [-37.8506281, 176.4296983]]",,,,,,,,,,,"[[-37.813473, 176.4553636], [-37.7934065, 176.3168875]]",,,,,,
,,,"[[-37.8224233, 176.4114091], [-37.8248507, 176.4137746]]",,,,,,,,,,,"[[-37.82294, 176.4856864], [-37.7821635, 176.3182266]]",,,,,,
,,,"[[-37.8031129, 176.4922342], [-37.8771966, 176.529182]]",,,,,,,,,,,"[[-37.8385775, 176.3989236], [-37.7837133, 176.3225363]]",,,,,,
,,,"[[-37.8625557, 176.5841128], [-37.8180815, 176.4121985]]",,,,,,,,,,,"[[-38.0137586, 176.5754648], [-37.7954399, 176.3191041]]",,,,,,
,,,"[[-37.940655, 176.5136743], [-38.0012068, 176.5507815]]",,,,,,,,,,,"[[-37.9520258, 176.446104], [-37.7832744, 176.3247019]]",,,,,,
,,,"[[-37.8360845, 176.433971], [-37.9617927, 176.4355576]]",,,,,,,,,,,"[[-37.8216108, 176.4155869], [-37.790634, 176.3247609]]",,,,,,
,,,"[[-37.8625557, 176.5841128], [-37.8248478, 176.4127553]]",,,,,,,,,,,"[[-37.8625557, 176.5841128], [-37.7851442, 176.3260288]]",,,,,,
,,,"[[-37.8031129, 176.4922342], [-37.82294, 176.4856864]]",,,,,,,,,,,"[[-37.8223922, 176.4117205], [-37.8004846, 176.3172215]]",,,,,,
,,,"[[-37.832355, 176.5897022], [-37.940655, 176.5136743]]",,,,,,,,,,,"[[-37.8229848, 176.4855823], [-37.7893628, 176.3291137]]",,,,,,
,,,"[[-37.8470681, 176.4935989], [-37.8368006, 176.4752142]]",,,,,,,,,,,"[[-37.8181795, 176.4121079], [-37.7927254, 176.3187935]]",,,,,,
,,,"[[-37.8160747, 176.4134269], [-37.8216085, 176.4117037]]",,,,,,,,,,,"[[-37.8170225, 176.4627897], [-37.783774, 176.3268663]]",,,,,,
,,,"[[-37.8345821, 176.6082463], [-37.796122, 176.4812288]]",,,,,,,,,,,"[[-37.8271759, 176.4369245], [-37.7815461, 176.3292054]]",,,,,,
,,,"[[-37.9622419, 176.5436609], [-37.8248478, 176.4127553]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8120571, 176.5676919], [-37.8277965, 176.3963839]]",,,,,,,,,,,,,,,,,
,,,"[[-37.9464163, 176.5088435], [-37.8458518, 176.4531546]]",,,,,,,,,,,,,,,,,
,,,"[[-37.7960807, 176.4650548], [-37.9782795, 176.5651275]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8872731, 176.5258894], [-37.8381427, 176.4213539]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8216108, 176.4155869], [-37.8368006, 176.4752142]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8220161, 176.586015], [-37.838803, 176.3821097]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8381427, 176.4213539], [-37.807256, 176.4369396]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8248478, 176.4127553], [-37.8162158, 176.562853]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8248507, 176.4137746], [-37.8184274, 176.412028]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8771966, 176.529182], [-37.7874085, 176.4942984]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8840265, 176.5188666], [-37.8497381, 176.4271326]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8659566, 176.3871999], [-37.8368006, 176.4752142]]",,,,,,,,,,,,,,,,,
,,,"[[-37.9782795, 176.5651275], [-37.8062775, 176.5160445]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8271759, 176.4369245], [-37.8216108, 176.4155869]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8368006, 176.4752142], [-37.8242675, 176.4135804]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8248507, 176.4137746], [-37.8811169, 176.5759027]]",,,,,,,,,,,,,,,,,
,,,"[[-37.96837, 176.4564748], [-37.8605471, 176.5485573]]",,,,,,,,,,,,,,,,,
,,,"[[-37.9617927, 176.4355576], [-37.9064248, 176.4339361]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8215542, 176.4114063], [-37.8238169, 176.4730639]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8771966, 176.529182], [-37.8676569, 176.5209933]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8214852, 176.565141], [-37.8224233, 176.4114091]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8181443, 176.4152129], [-37.8157909, 176.5138564]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8605471, 176.5485573], [-37.8216108, 176.4155869]]",,,,,,,,,,,,,,,,,
,,,"[[-37.9464163, 176.5088435], [-37.8454164, 176.4842073]]",,,,,,,,,,,,,,,,,
,,,"[[-37.807256, 176.4369396], [-37.8271759, 176.4369245]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8224233, 176.4114091], [-37.8216085, 176.4117037]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8216085, 176.4117037], [-37.8853328, 176.549601]]",,,,,,,,,,,,,,,,,
,,,"[[-37.9617927, 176.4355576], [-37.8220161, 176.586015]]",,,,,,,,,,,,,,,,,
,,,"[[-37.796122, 176.4812288], [-37.7878143, 176.4803021]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8132593, 176.4843243], [-37.9064248, 176.4339361]]",,,,,,,,,,,,,,,,,
,,,"[[-37.9249421, 176.608566], [-37.8771966, 176.529182]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8215941, 176.5490969], [-37.832355, 176.5897022]]",,,,,,,,,,,,,,,,,
,,,"[[-37.82484, 176.4106721], [-37.8181443, 176.4152129]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8224233, 176.4114091], [-37.8872731, 176.5258894]]",,,,,,,,,,,,,,,,,
,,,"[[-37.839119, 176.5592824], [-37.8360845, 176.433971]]",,,,,,,,,,,,,,,,,
,,,"[[-37.813473, 176.4553636], [-37.8162158, 176.562853]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8184274, 176.412028], [-37.796122, 176.4812288]]",,,,,,,,,,,,,,,,,
,,,"[[-37.9064248, 176.4339361], [-37.8381427, 176.4213539]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8611798, 176.5684664], [-37.8505544, 176.507039]]",,,,,,,,,,,,,,,,,
,,,"[[-37.7961231, 176.4816284], [-37.9782795, 176.5651275]]",,,,,,,,,,,,,,,,,
,,,"[[-37.8220161, 176.586015], [-37.8181788, 176.4127408]]",,,,,,,,,,,,,,,,,
