Maketu - Pongakawa,Motiti - Pongakawa,Otawa - Pongakawa,Pongakawa - Pongakawa,Pongakawa - Mount Maunganui North,Pongakawa - Palm Beach South-Gravatt,Pongakawa - Tauranga Hospital,Pongakawa - Tauranga Central,Pongakawa - Otawa,Pongakawa - Rangiuru,Pongakawa - Baypark-Kairua,Pongakawa - Mount Maunganui Central,Pongakawa - Wairakei,Pongakawa - Maketu,Pongakawa - Te Puke East,Pongakawa - Te Puke West,Pukehina Beach - Pongakawa,Rangiuru - Pongakawa,Te Puke East - Pongakawa,Te Puke West - Pongakawa,Wairakei - Pongakawa
"[[-37.7586542, 176.451891], [-37.839119, 176.5592824]]",,,"[[-37.8204305, 176.4775971], [-37.8223922, 176.4117205]]",,,,"[[-37.8254786, 176.4121509], [-37.694992, 176.1652154]]","[[-37.8462459, 176.4550288], [-37.7336891, 176.2983989]]","[[-37.8248478, 176.4127553], [-37.807256, 176.4369396]]",,"[[-37.8216104, 176.4144627], [-37.6690164, 176.2108601]]",,,"[[-37.8229848, 176.4855823], [-37.7826981, 176.3247607]]","[[-37.8172858, 176.5662386], [-37.7845509, 176.312177]]","[[-37.7974965, 176.5242916], [-37.8853328, 176.549601]]","[[-37.7985897, 176.3521773], [-37.822116, 176.4751053]]","[[-37.7910613, 176.3247537], [-37.8345821, 176.6082463]]","[[-37.7753453, 176.2952245], [-37.7909565, 176.46572]]",
,,,"[[-37.8659566, 176.3871999], [-37.8181795, 176.4121079]]",,,,,"[[-37.9034589, 176.4162829], [-37.715213, 176.3075986]]","[[-37.82484, 176.4106721], [-37.7723886, 176.4393836]]",,"[[-37.8371346, 176.4734481], [-37.6656157, 176.2032756]]",,,"[[-37.8611798, 176.5684664], [-37.794399, 176.3233882]]","[[-37.8224233, 176.4114091], [-37.7815961, 176.3140699]]","[[-37.7604704, 176.4839534], [-37.8387543, 176.4736138]]","[[-37.7820544, 176.3502809], [-37.8031129, 176.4922342]]","[[-37.7840503, 176.3265468], [-37.9538306, 176.4591678]]","[[-37.7797225, 176.3050596], [-37.8229848, 176.4855823]]",
,,,"[[-37.8180815, 176.4121985], [-37.8424402, 176.5331189]]",,,,,"[[-37.8659566, 176.3871999], [-37.7753455, 176.2951477]]","[[-37.8381427, 176.4213539], [-37.7940754, 176.3637987]]",,"[[-37.8154737, 176.4135884], [-37.6594657, 176.2035878]]",,,"[[-37.8360845, 176.433971], [-37.7814358, 176.3199151]]","[[-37.8031129, 176.4922342], [-37.7797225, 176.3050596]]","[[-37.7854305, 176.5206737], [-37.8127294, 176.4082365]]","[[-37.7940754, 176.3637987], [-37.8271759, 176.4369245]]","[[-37.7842591, 176.3264076], [-37.8992575, 176.5513958]]","[[-37.7957594, 176.3013528], [-37.8215542, 176.4114063]]",
,,,"[[-37.8154737, 176.4135884], [-37.8172858, 176.5662386]]",,,,,"[[-37.8381427, 176.4213539], [-37.7738529, 176.2855924]]","[[-37.8157909, 176.5138564], [-37.8111453, 176.4079802]]",,"[[-37.8853328, 176.549601], [-37.6543463, 176.201723]]",,,"[[-37.8238169, 176.4730639], [-37.794399, 176.3233882]]","[[-37.8214852, 176.565141], [-37.7816943, 176.3184011]]","[[-37.7908073, 176.5289654], [-37.8454164, 176.4842073]]","[[-37.807256, 176.4369396], [-37.8204305, 176.4775971]]","[[-37.7833874, 176.3246309], [-37.8170225, 176.4627897]]","[[-37.7844796, 176.308048], [-37.813473, 176.4553636]]",
,,,"[[-37.8120571, 176.5676919], [-37.9622419, 176.5436609]]",,,,,"[[-37.8611798, 176.5684664], [-37.7224765, 176.2847918]]","[[-37.8242675, 176.4135804], [-37.7938451, 176.3636488]]",,"[[-37.8043712, 176.5538939], [-37.6426394, 176.1854943]]",,,"[[-37.8458518, 176.4531546], [-37.788615, 176.3265153]]","[[-37.8509852, 176.422804], [-37.780821, 176.3166409]]",,"[[-37.7820544, 176.3502809], [-37.7908073, 176.5289654]]","[[-37.8026773, 176.3152899], [-37.8238169, 176.4730639]]","[[-37.7844796, 176.308048], [-37.8139476, 176.4566196]]",
,,,"[[-37.8170225, 176.4627897], [-37.8872731, 176.5258894]]",,,,,"[[-37.8127294, 176.4082365], [-37.7198569, 176.2488445]]","[[-37.8829707, 176.4200773], [-37.8010313, 176.3991113]]",,"[[-37.8225107, 176.4030006], [-37.6651617, 176.2070512]]",,,"[[-37.8872731, 176.5258894], [-37.7790009, 176.3296494]]","[[-37.8171003, 176.4191642], [-37.7853139, 176.3122982]]",,"[[-37.7622006, 176.4547889], [-37.8159717, 176.5140182]]","[[-37.7815686, 176.3201578], [-37.7960807, 176.4650548]]","[[-37.7758499, 176.3089544], [-37.8771966, 176.529182]]",
,,,"[[-38.0137586, 176.5754648], [-37.7878143, 176.4803021]]",,,,,"[[-37.8248507, 176.4137746], [-37.7623243, 176.230403]]","[[-37.8552956, 176.5085268], [-37.8160747, 176.4134269]]",,"[[-37.8385775, 176.3989236], [-37.6595011, 176.2038011]]",,,"[[-37.8214859, 176.5650754], [-37.783774, 176.3268663]]","[[-37.8182116, 176.5064839], [-37.7747363, 176.3084996]]",,"[[-37.8134409, 176.3753488], [-37.8345821, 176.6082463]]","[[-37.783774, 176.3268663], [-37.8241838, 176.4144632]]","[[-37.7844796, 176.308048], [-37.9249421, 176.608566]]",
,,,"[[-37.9421527, 176.4155608], [-37.9617927, 176.4355576]]",,,,,"[[-37.8506281, 176.4296983], [-37.7739969, 176.2378064]]","[[-37.8552956, 176.5085268], [-37.8205743, 176.3747346]]",,"[[-37.9494975, 176.5395485], [-37.6575461, 176.1885439]]",,,"[[-37.7878143, 176.4803021], [-37.7942043, 176.320047]]","[[-37.8673567, 176.5258971], [-37.7852564, 176.3132273]]",,"[[-37.7570085, 176.3502399], [-37.8184274, 176.412028]]","[[-37.7961063, 176.3230103], [-37.8181795, 176.4121079]]","[[-37.7822742, 176.3113942], [-38.0137586, 176.5754648]]",
,,,"[[-37.8127294, 176.4082365], [-37.8154737, 176.4135884]]",,,,,"[[-37.8277965, 176.3963839], [-37.715213, 176.3075986]]","[[-37.8424402, 176.5331189], [-37.8159889, 176.3625207]]",,"[[-37.8505544, 176.507039], [-37.6650409, 176.1906865]]",,,"[[-37.8214859, 176.5650754], [-37.7849765, 176.316989]]","[[-37.8213214, 176.5811625], [-37.7957763, 176.3071469]]",,"[[-37.7899849, 176.3929653], [-37.8371346, 176.4734481]]","[[-37.7858352, 176.3273035], [-37.8225107, 176.4030006]]","[[-37.7750927, 176.3078116], [-37.9537859, 176.3743359]]",
,,,"[[-37.8276938, 176.4088519], [-37.8470681, 176.4935989]]",,,,,"[[-37.8385775, 176.3989236], [-37.7407361, 176.2948981]]","[[-37.8216085, 176.4117037], [-37.7932249, 176.3441366]]",,"[[-37.8424402, 176.5331189], [-37.6561985, 176.1903319]]",,,"[[-37.8385775, 176.3989236], [-37.7850355, 176.3247514]]","[[-37.7908073, 176.5289654], [-37.7748249, 176.3084348]]",,"[[-37.7642128, 176.372556], [-37.96837, 176.4564748]]","[[-37.7887537, 176.319379], [-37.8552956, 176.5085268]]","[[-37.7814066, 176.3115293], [-37.82294, 176.4856864]]",
,,,"[[-37.8872731, 176.5258894], [-37.8673567, 176.5258971]]",,,,,"[[-37.8254786, 176.4121509], [-37.7578919, 176.2504156]]","[[-38.0012068, 176.5507815], [-37.8818688, 176.3250557]]",,"[[-37.8992575, 176.5513958], [-37.6593109, 176.1994909]]",,,"[[-37.9617927, 176.4355576], [-37.7942004, 176.3280092]]","[[-37.7878143, 176.4803021], [-37.7840279, 176.314158]]",,"[[-37.8410559, 176.3627247], [-37.796122, 176.4812288]]","[[-37.7840279, 176.314158], [-37.9622419, 176.5436609]]","[[-37.7858345, 176.3135415], [-37.8276938, 176.4088519]]",
